bbox,bbox_large,output
"[324.0, 21.0, 36.0, 42.0, 3.0]","[0.0, 18.0, 360.0, 48.0, 2.0]","(1) This is a shopping cart icon.

(2) It is located in the top right corner of the screen, inside the bar that contains the eBay logo and the search bar."
"[0.0, 66.0, 360.0, 48.0, 4.0]","[0.0, 66.0, 360.0, 574.0, 4.0]","(1) This is the logo of eBay. 

(2) It is located at the top-left corner of the box containing the search options, category links, and promotional information. This entire box is at the top of the screen."
"[0.0, 66.0, 360.0, 48.0, 4.0]","[0.0, 66.0, 360.0, 574.0, 4.0]","(1) This is the eBay search bar.
(2) It is located at the top of the content area from the third to the twelfth of the visible screen."
"[274.0, 72.0, 36.0, 36.0, 5.0]","[0.0, 66.0, 360.0, 48.0, 4.0]","(1) This is a microphone icon. 

(2) It is located within the search bar, towards the right end. The search bar itself is near the top of the screen, right below the eBay logo."
"[310.0, 72.0, 36.0, 36.0, 6.0]","[0.0, 66.0, 360.0, 48.0, 4.0]","(1) This is an icon of a camera. 
(2) It is located at the right end of the search bar on the top of the screen."
"[0.0, 120.0, 360.0, 42.0, 7.0]","[0.0, 66.0, 360.0, 574.0, 4.0]","(1) This is the search bar with options like ""Selling"", ""Saved"", ""Deals"", and ""eBay Live"".
(2) It is located at the top of its containing section and in the upper portion of the complete screen display, right below the eBay logo and top status indicators."
"[0.0, 120.0, 360.0, 42.0, 8.0]","[0.0, 66.0, 360.0, 574.0, 4.0]","(1) This is the search bar with the option to enter text to search for items, and quick access buttons for selling, saved, deals, eBay Live, and more.

(2) It is located at the top of a section with various offers. This section is situated at the top portion of the overall screen, just below the eBay logo and time display."
"[12.0, 120.0, 68.0, 36.0, 8.0]","[0.0, 120.0, 360.0, 42.0, 8.0]","(1) This is the ""Selling"" button.
(2) It is located towards the left side of a horizontal menu bar, which is just below the search bar. The entire menu bar is situated near the top of the screen."
"[86.0, 120.0, 66.0, 36.0, 8.0]","[0.0, 120.0, 360.0, 42.0, 8.0]","(1) The button in focus is labeled ""Saved.""
(2) It is located within a horizontal navigation bar, which is situated near the top of the screen, below the search bar and above the promotional offers."
"[158.0, 120.0, 63.0, 36.0, 9.0]","[0.0, 120.0, 360.0, 42.0, 8.0]","(1) Deals button. 
      
(2) It is located in the list of buttons below the search bar and above the promotional banner on the screen, specifically to the right of the Selling and Saved buttons."
"[227.0, 120.0, 79.0, 36.0, 10.0]","[0.0, 120.0, 360.0, 42.0, 8.0]","(1) ""eBay Live"" button. 
(2) This button is within the icon strip located at the top of the screen, just below the search bar."
